"No.","Radio ID","Name","Call Type","Call Alert"
"152","5000261","IKSHA","Private Call","None"
"153","5000262","SENATOR","Private Call","None"
"154","5000280","OKROSKA","Private Call","None"
"155","5000349","KURDEN","Private Call","None"
"156","5000540","KASPER","Private Call","None"
"157","5000772","GIHAR","Private Call","None"
"158","5000941","KIRPICH","Private Call","None"
"159","5002012","PENZA","Private Call","None"
"160","5002222","HOKUM","Private Call","None"
"161","5005522","ZOLOTOY","Private Call","None"
"162","5500001","DAVID","Private Call","None"
"163","5500055","ROSTIK","Private Call","None"
"164","5500099","QASHQAI","Private Call","None"
"165","5550222","QRAOLD","Private Call","None"
"166","5566777","TESTCA","Private Call","None"
"167","5600076","VERESK","Private Call","None"
"168","5700057","OREL808","Private Call","None"
"169","5800030","OLIMP","Private Call","None"
"170","5800077","SMOG158","Private Call","None"
"171","5900111","TAYGA","Private Call","None"
"172","5900175","CHERMOZ","Private Call","None"
"173","5902505","FORWARD","Private Call","None"
"174","5973005","DSPET4R","Private Call","None"
"175","5973007","ORBIT","Private Call","None"
"176","5973008","PARTZAN","Private Call","None"
"177","5973009","DEVYATK","Private Call","None"
"178","5973011","CMETAHA","Private Call","None"
"179","5973013","BOROVIK","Private Call","None"
"180","5973015","ALUPKA1","Private Call","None"
"181","5973031","SEDOY","Private Call","None"
"182","5973058","OBERON","Private Call","None"
"183","5973062","TAIFUN","Private Call","None"
"184","5973077","ZAPAD77","Private Call","None"
"185","5973162","SQUID","Private Call","None"
"186","5973188","MIX1888","Private Call","None"
"187","5973203","ALEX203","Private Call","None"
"188","5973212","TURBINA","Private Call","None"
"189","5973213","ACROBAT","Private Call","None"
"190","5973215","ARCTIC","Private Call","None"
"191","5973220","ROMA220","Private Call","None"
"192","5973232","SANICH","Private Call","None"
"193","5973272","TASKENT","Private Call","None"
"194","5973415","HOLODOK","Private Call","None"
"195","5973501","QRA1731","Private Call","None"
"196","5973515","ASPIRIN","Private Call","None"
"197","5973717","KAMA","Private Call","None"
"198","5973723","ORANGE","Private Call","None"
"199","5973744","NIKON","Private Call","None"
"200","5973750","GNOM","Private Call","None"
"201","5973757","SURGUT","Private Call","None"
