"No.","Radio ID","Name","Call Type","Call Alert"
"151","2503439","TRAK","Private Call","None"
"152","5000002","BOTSMAN","Private Call","None"
"153","2500252","BARS","Private Call","None"
"154","2500334","STALKER","Private Call","None"
"155","7700023","BARON","Private Call","None"
"156","7700100","RADIO","Private Call","None"
"157","2600002","RADIY","Private Call","None"
"158","7800555","BOLTIK","Private Call","None"
"159","8000001","NEPTUNE","Private Call","None"
"160","9601990","LOST","Private Call","None"
"161","7700123","NEMO","Private Call","None"
"162","2570162","IMPULS","Private Call","None"
"163","5600076","VERESK","Private Call","None"
"164","4300001","SHAXTER","Private Call","None"
"165","2500789","RECHNIK","Private Call","None"
"166","6107007","GSTAR","Private Call","None"
"167","2501029","714PZ","Private Call","None"
"168","5566777","TESTCA","Private Call","None"
"169","1122999","DVS","Private Call","None"
"170","5000941","KIRPICH","Private Call","None"
"171","2500824","RAPTER","Private Call","None"
"172","2570053","AIKOM","Private Call","None"
"173","2502226","PETR59","Private Call","None"
"174","6660666","QRANEW","Private Call","None"
"175","1000001","REPSVR","Private Call","None"
"176","2500863","ZHIRAF","Private Call","None"
"177","2500794","LANCER","Private Call","None"
"178","2501108","4UVASH","Private Call","None"
"179","2507060","SEVAS","Private Call","None"
"180","2507004","BALAMUT","Private Call","None"
"181","2507074","BALOMUT","Private Call","None"
"182","2507027","BALAMYT","Private Call","None"
"183","2506076","0888","Private Call","None"
"184","6100777","ROSTOV","Private Call","None"
"185","7705778","TUMAN","Private Call","None"
"186","7700101","MARIOTT","Private Call","None"
"187","5550222","QRAOLD","Private Call","None"
"188","9200787","SANSEY","Private Call","None"
"189","2506007","BUSTER","Private Call","None"
"190","4852002","PIL0T","Private Call","None"
"191","2509178","ASTRNOM","Private Call","None"
"192","2504058","DOCENT","Private Call","None"
"193","2500881","BUMER","Private Call","None"
"194","2502011","KOTLAS","Private Call","None"
"195","5000003","TRESHKN","Private Call","None"
"196","2503228","KARDAN","Private Call","None"
"197","1860757","CICADA","Private Call","None"
"198","2502138","KUBAN","Private Call","None"
"199","9990	ECHOHBL","9990	ECHOHBL","Private Call","None"
"200","9991	ECHOQRA","9991	ECHOQRA","Private Call","None"
"201","7700327","MEDIC","Private Call","None"
"202","5973515","ASPIRIN","Private Call","None"
"203","2500108","DALLAS","Private Call","None"
"204","6000001","LESHIY","Private Call","None"
"205","6660777","QRASAO","Private Call","None"
"206","7700524","ANGARA","Private Call","None"
"207","6660888","QRAZAO","Private Call","None"
"208","2500707","PRORAB","Private Call","None"
