"No.","Radio ID","Callsign","Name","City","State","Country","Remarks","Call Type","Call Alert"
"142","2509163","ROSTIK","","","","","","Private Call","None"
"143","2509178","ASTRNOM","","","","","","Private Call","None"
"144","2570053","AIKOM","","","","","","Private Call","None"
"145","2570093","STOPOR","","","","","","Private Call","None"
"146","2570148","MASTER","","","","","","Private Call","None"
"147","2570162","IMPULS","","","","","","Private Call","None"
"148","2600001","JONY","","","","","","Private Call","None"
"149","2600002","RADIY","","","","","","Private Call","None"
"150","2700027","MONOLIT","","","","","","Private Call","None"
"151","2708042","KARAT","","","","","","Private Call","None"
"152","2900555","ODA10","","","","","","Private Call","None"
"153","3000987","HANTER","","","","","","Private Call","None"
"154","3100001","BELGR0D","","","","","","Private Call","None"
"155","3100002","TROYKA","","","","","","Private Call","None"
"156","3197441","FLORIDA","","","","","","Private Call","None"
"157","3208222","GARICH","","","","","","Private Call","None"
"158","3324733","CONDOR","","","","","","Private Call","None"
"159","3600971","FRESH","","","","","","Private Call","None"
"160","3720001","BALU","","","","","","Private Call","None"
"161","3720002","XRADIO","","","","","","Private Call","None"
"162","4000001","MOTO","","","","","","Private Call","None"
"163","4010121","AYDAR","","","","","","Private Call","None"
"164","4200042","LYAMKIN","","","","","","Private Call","None"
"165","4200105","MIXA105","","","","","","Private Call","None"
"166","4300001","SHAXTER","","","","","","Private Call","None"
"167","4700830","FEDOR83","","","","","","Private Call","None"
"168","4852001","PILOT","","","","","","Private Call","None"
"169","5000002","BOTSMAN","","","","","","Private Call","None"
"170","5000003","TRESHKN","","","","","","Private Call","None"
"171","5000004","GRAF","","","","","","Private Call","None"
"172","5000005","TURIST","","","","","","Private Call","None"
"173","5000007","RANGER","","","","","","Private Call","None"
"174","5000018","GIDRANT","","","","","","Private Call","None"
"175","5000030","STELS","","","","","","Private Call","None"
"176","5000097","DIMA97","","","","","","Private Call","None"
"177","5000230","MAGNETO","","","","","","Private Call","None"
"178","5000262","SENATOR","","","","","","Private Call","None"
"179","5000280","OKROSKA","","","","","","Private Call","None"
"180","5000349","KURDEN","","","","","","Private Call","None"
"181","5000540","KASPER","","","","","","Private Call","None"
"182","5000772","GIHAR","","","","","","Private Call","None"
"183","5000941","KIRPICH","","","","","","Private Call","None"
"184","5001430","RADIST","","","","","","Private Call","None"
"185","5002012","PENZA","","","","","","Private Call","None"
"186","5002222","HOKUM","","","","","","Private Call","None"
"187","5005522","ZOLOTOY","","","","","","Private Call","None"
"188","5500001","DAVID","","","","","","Private Call","None"
"189","5500055","ROSTIK","","","","","","Private Call","None"
