Radio ID,Callsign,Name,City,State,Country
2507027,BALAMYT,"""","""","""",Russia Fed
2507053,PSTAR,"""","""","""",Russia Fed
250706,SEVAS,"""","""","""",Russia Fed
2507074,BALOMUT,"""","""","""",Russia Fed
2508128,STRANIK,"""","""","""",Russia Fed
2509099,KORSAR,"""","""","""",Russia Fed
2509121,DOMOVOY,"""","""","""",Russia Fed
2509163,ROSTIK,"""","""","""",Russia Fed
2509178,ASTRNOM,"""","""","""",Russia Fed
2570053,AIKOM,"""","""","""",Russia Fed
2570093,STOPOR,"""","""","""",Russia Fed
2570148,MASTER,"""","""","""",Russia Fed
2570162,IMPULS,"""","""","""",Russia Fed
2600001,JONY,"""","""","""",Russia Fed
2600002,RADIY,"""","""","""",Russia Fed
2700027,MONOLIT,"""","""","""",Russia Fed
2708042,KARAT,"""","""","""",Russia Fed
2900555,ODA10,"""","""","""",Russia Fed
3000987,HANTER,"""","""","""",Russia Fed
3100001,BELGR0D,"""","""","""",Russia Fed
3100002,TROYKA,"""","""","""",Russia Fed
3197441,FLORIDA,"""","""","""",Russia Fed
3208222,GARICH,"""","""","""",Russia Fed
3324733,CONDOR,"""","""","""",Russia Fed
3600971,FRESH,"""","""","""",Russia Fed
3720001,BALU,"""","""","""",Russia Fed
3720002,XRADIO,"""","""","""",Russia Fed
4000001,MOTO,"""","""","""",Russia Fed
4010121,AYDAR,"""","""","""",Russia Fed
4200042,LYAMKIN,"""","""","""",Russia Fed
4200105,MIXA105,"""","""","""",Russia Fed
4300001,SHAXTER,"""","""","""",Russia Fed
4700830,FEDOR83,"""","""","""",Russia Fed
4852001,PILOT,"""","""","""",Russia Fed
5000002,BOTSMAN,"""","""","""",Russia Fed
5000003,TRESHKN,"""","""","""",Russia Fed
5000004,GRAF,"""","""","""",Russia Fed
5000005,TURIST,"""","""","""",Russia Fed
5000007,RANGER,"""","""","""",Russia Fed
5000018,GIDRANT,"""","""","""",Russia Fed
5000030,STELS,"""","""","""",Russia Fed
5000097,DIMA97,"""","""","""",Russia Fed
5000230,MAGNETO,"""","""","""",Russia Fed
5000262,SENATOR,"""","""","""",Russia Fed
5000280,OKROSKA,"""","""","""",Russia Fed
5000349,KURDEN,"""","""","""",Russia Fed
5000540,KASPER,"""","""","""",Russia Fed
5000772,GIHAR,"""","""","""",Russia Fed
5000941,KIRPICH,"""","""","""",Russia Fed
5001430,RADIST,"""","""","""",Russia Fed
5002012,PENZA,"""","""","""",Russia Fed
5002222,HOKUM,"""","""","""",Russia Fed
5005522,ZOLOTOY,"""","""","""",Russia Fed
5500001,DAVID,"""","""","""",Russia Fed
5500055,ROSTIK,"""","""","""",Russia Fed
5500099,QASHQAI,"""","""","""",Russia Fed
5550222,QRAOLD,"""","""","""",Russia Fed
5566777,TESTCA,"""","""","""",Russia Fed
5600076,VERESK,"""","""","""",Russia Fed
5700057,OREL808,"""","""","""",Russia Fed
5800030,OLIMP,"""","""","""",Russia Fed
5800077,SMOG158,"""","""","""",Russia Fed
5900111,TAYGA,"""","""","""",Russia Fed
5900175,CHERMOZ,"""","""","""",Russia Fed
5902505,FORWARD,"""","""","""",Russia Fed
5973005,DSPET4R,"""","""","""",Russia Fed
5973007,ORBIT,"""","""","""",Russia Fed
5973008,PARTZAN,"""","""","""",Russia Fed
5973009,DEVYATK,"""","""","""",Russia Fed
5973011,CMETAHA,"""","""","""",Russia Fed
5973013,BOROVIK,"""","""","""",Russia Fed
5973015,ALUPKA1,"""","""","""",Russia Fed
5973031,SEDOY,"""","""","""",Russia Fed
5973058,OBERON,"""","""","""",Russia Fed
5973062,TAIFUN,"""","""","""",Russia Fed
5973077,ZAPAD77,"""","""","""",Russia Fed
5973111,HYTERA,"""","""","""",Russia Fed
5973162,SQUID,"""","""","""",Russia Fed
5973188,MIX1888,"""","""","""",Russia Fed
5973203,ALEX203,"""","""","""",Russia Fed
5973212,TURBINA,"""","""","""",Russia Fed
5973213,ACROBAT,"""","""","""",Russia Fed
5973215,ARCTIC,"""","""","""",Russia Fed
5973220,ROMA220,"""","""","""",Russia Fed
5973232,SANICH,"""","""","""",Russia Fed
5973272,TASKENT,"""","""","""",Russia Fed
5973415,HOLODOK,"""","""","""",Russia Fed
5973501,QRA1731,"""","""","""",Russia Fed
5973515,ASPIRIN,"""","""","""",Russia Fed
5973666,QRABOT,"""","""","""",Russia Fed
5973717,KAMA,"""","""","""",Russia Fed
5973723,ORANGE,"""","""","""",Russia Fed
5973744,NIKON,"""","""","""",Russia Fed
5973750,GNOM,"""","""","""",Russia Fed
5973757,SURGUT,"""","""","""",Russia Fed
5973770,ON770,"""","""","""",Russia Fed
5973781,PAROVOZ,"""","""","""",Russia Fed
5973795,ONARKA,"""","""","""",Russia Fed
5973801,QENERGY,"""","""","""",Russia Fed
5973817,DIREKTOR,"""","""","""",Russia Fed
5973842,VOYAGER,"""","""","""",Russia Fed
5973888,SMOLNY,"""","""","""",Russia Fed
5973901,DVS001,"""","""","""",Russia Fed
5973909,TRANSIT,"""","""","""",Russia Fed
5973911,CMRADUGA,"""","""","""",Russia Fed
6000001,LESHIY,"""","""","""",Russia Fed
6100061,BORBIST,"""","""","""",Russia Fed
6100555,SELMASH,"""","""","""",Russia Fed
6100777,ROSTOV,"""","""","""",Russia Fed
6102504,BATAYSK,"""","""","""",Russia Fed
6107007,GSTAR,"""","""","""",Russia Fed
6107373,TAYNIK,"""","""","""",Russia Fed
6201488,MARCONI,"""","""","""",Russia Fed
6201499,BOTANIK,"""","""","""",Russia Fed
6400555,DEN53,"""","""","""",Russia Fed
6600001,SHAMAN,"""","""","""",Russia Fed
6660111,P25DMR,"""","""","""",Russia Fed
6660333,QRAP25,"""","""","""",Russia Fed
6660444,QRA909,"""","""","""",Russia Fed
6660555,QRAPOC,"""","""","""",Russia Fed
6660666,QRALINK,"""","""","""",Russia Fed
6660667,CAPYBAR,"""","""","""",Russia Fed
6660777,QRASAO,"""","""","""",Russia Fed
6660888,QRAZAO,"""","""","""",Russia Fed
6660999,QRASKLV,"""","""","""",Russia Fed
6700067,VIRAZH,"""","""","""",Russia Fed
7000001,SUMRAK,"""","""","""",Russia Fed
7600001,PRINTER,"""","""","""",Russia Fed
7700023,BARON,"""","""","""",Russia Fed
7700024,NAUM,"""","""","""",Russia Fed
7700025,CCCP,"""","""","""",Russia Fed
7700030,VETER,"""","""","""",Russia Fed
7700077,WOROBEY,"""","""","""",Russia Fed
7700100,RADIO,"""","""","""",Russia Fed
7700101,MARIOTT,"""","""","""",Russia Fed
7700110,BESS,"""","""","""",Russia Fed
7700111,MORYAK,"""","""","""",Russia Fed
7700115,DRIM,"""","""","""",Russia Fed
7700123,NEMO,"""","""","""",Russia Fed
7700163,EGER163,"""","""","""",Russia Fed
7700165,ROO165,"""","""","""",Russia Fed
7700233,PIZZA,"""","""","""",Russia Fed
7700292,KARAS,"""","""","""",Russia Fed
7700327,MEDIC,"""","""","""",Russia Fed
7700345,CHAJKA,"""","""","""",Russia Fed
7700500,BOBER,"""","""","""",Russia Fed
7700524,ANGARA,"""","""","""",Russia Fed
7700543,PRIMUS,"""","""","""",Russia Fed
7700545,ANDR545,"""","""","""",Russia Fed
7700666,BRODYGA,"""","""","""",Russia Fed
7700777,FIJI,"""","""","""",Russia Fed
7700850,QRA7787,"""","""","""",Russia Fed
7700888,PYTHON,"""","""","""",Russia Fed
7700985,QRATRCK,"""","""","""",Russia Fed
7700999,ORCA28,"""","""","""",Russia Fed
7701015,SERAFIM,"""","""","""",Russia Fed
7701988,INDEEC,"""","""","""",Russia Fed
7702158,VANDAM,"""","""","""",Russia Fed
7702202,REVAZ,"""","""","""",Russia Fed
7702641,RUBIN,"""","""","""",Russia Fed
7702785,CACTUS,"""","""","""",Russia Fed
7703306,ALTAIR,"""","""","""",Russia Fed
7704077,RADAR,"""","""","""",Russia Fed
7705778,TUMAN,"""","""","""",Russia Fed
7770348,VITAMIN,"""","""","""",Russia Fed
7800056,AYVENGO,"""","""","""",Russia Fed
7800305,VALKOD,"""","""","""",Russia Fed
7800555,BOLTIK,"""","""","""",Russia Fed
7800996,RYZHYI,"""","""","""",Russia Fed
7801081,ULUDAG,"""","""","""",Russia Fed
7806534,OLEG,"""","""","""",Russia Fed
7809113,KOMYAGA,"""","""","""",Russia Fed
8000001,NEPTUNE,"""","""","""",Russia Fed
8000073,MUSEMAN,"""","""","""",Russia Fed
8200001,KVAK,"""","""","""",Russia Fed
8600001,LESNIK,"""","""","""",Russia Fed
9200015,KOSHEY,"""","""","""",Russia Fed
9200787,SANSEY,"""","""","""",Russia Fed
9600002,SEVERNY,"""","""","""",Russia Fed
9601990,LOST,"""","""","""",Russia Fed
