            __File Format Version__,0x01


__Feature__,"ASTRO Call List"

__Record__,1 of 1 ("ASTRO Call List")

__Section__,"General"

__Field Name__, __Field Value__
"List Alias","LIST 1"

__Section__,"List"

__Field Names__
"Type","Call ID","ASTRO Call ID Text"
"Ind","5973215","ARCTIC"
"Ind","5973220","ROMA220"
"Ind","5973232","SANICH"
"Ind","5973272","TASKENT"
"Ind","5973415","HOLODOK"
"Ind","5973501","QRA1731"
"Ind","5973515","ASPIRIN"
"Ind","5973666","QRABOT"
"Ind","5973717","KAMA"
"Ind","5973723","ORANGE"
"Ind","5973744","NIKON"
"Ind","5973750","GNOM"
"Ind","5973757","SURGUT"
"Ind","5973770","ON770"
"Ind","5973777","SOKOL"
"Ind","5973781","PAROVOZ"
"Ind","5973795","ONARKA"
"Ind","5973801","QENERGY"
"Ind","5973817","DIREKTOR"
"Ind","5973842","VOYAGER"
"Ind","5973888","SMOLNY"
"Ind","5973901","DVS001"
"Ind","5973909","TRANSIT"
"Ind","5973911","CMRADUGA"
"Ind","6000001","LESHIY"
"Ind","6100061","BORBIST"
"Ind","6100555","SELMASH"
"Ind","6100777","ROSTOV"
"Ind","6102504","BATAYSK"
"Ind","6107007","GSTAR"
"Ind","6107373","TAYNIK"
"Ind","6201488","MARCONI"
"Ind","6201499","BOTANIK"
"Ind","6400555","DEN53"
"Ind","6600001","SHAMAN"
"Ind","6660111","P25DMR"
"Ind","6660333","QRAP25"
"Ind","6660444","QRA909"
"Ind","6660555","QRAPOC"
"Ind","6660666","QRALINK"
"Ind","6660667","CAPYBAR"
"Ind","6660777","QRASAO"
"Ind","6660888","QRAZAO"
"Ind","6660999","QRASKLV"
"Ind","6700067","VIRAZH"
"Ind","7000001","SUMRAK"
"Ind","7600001","PRINTER"
"Ind","7700023","BARON"
"Ind","7700024","NAUM"
"Ind","7700025","CCCP"
"Ind","7700030","VETER"
"Ind","7700077","WOROBEY"
"Ind","7700100","RADIO"
"Ind","7700101","MARIOTT"
"Ind","7700102","TRUBA"
"Ind","7700110","BESS"
"Ind","7700111","MORYAK"
"Ind","7700115","DRIM"
"Ind","7700123","NEMO"
"Ind","7700165","ROO165"
"Ind","7700327","MEDIC"
"Ind","7700345","CHAJKA"
"Ind","7700500","BOBER"
"Ind","7700524","ANGARA"
"Ind","7700543","PRIMUS"
"Ind","7700545","ANDR545"
"Ind","7700666","BRODYGA"
"Ind","7700777","FIJI"
"Ind","7700850","QRA7787"
"Ind","7700888","PYTHON"
"Ind","7700999","ORCA28"
"Ind","7701015","SERAFIM"
"Ind","7702158","VANDAM"
"Ind","7702202","REVAZ"
"Ind","7702641","RUBIN"
"Ind","7702785","CACTUS"
"Ind","7703306","ALTAIR"
"Ind","7704077","RADAR"
"Ind","7705778","TUMAN"
"Ind","7770348","VITAMIN"
"Ind","7800056","AYVENGO"
"Ind","7800305","VALKOD"
"Ind","7800555","BOLTIK"
"Ind","7800996","RYJII"
"Ind","7801081","ULUDAG"
"Ind","7806534","OLEG"
"Ind","7809113","KOMYAGA"
"Ind","8000001","NEPTUNE"
"Ind","8200001","KVAK"
"Ind","8600001","LESNIK"
"Ind","9200015","KOSHEY"
"Ind","9200787","SANSEY"
"Ind","9600002","SEVERNY"
"Ind","9601990","LOST"
