Contact Name;ID;ID Type;TS Override
BARON,7700023,Private,Disabled
RADIO,7700100,Private,Disabled
RADIY,2600002,Private,Disabled
BOLTIK,7800555,Private,Disabled
NEPTUNE,8000001,Private,Disabled
LOST,9601990,Private,Disabled
NEMO,7700123,Private,Disabled
IMPULS,2570162,Private,Disabled
VERESK,5600076,Private,Disabled
SHAXTER,4300001,Private,Disabled
RECHNIK,2500789,Private,Disabled
GSTAR,6107007,Private,Disabled
714PZ,2501029,Private,Disabled
TESTCA,5566777,Private,Disabled
DVS,1122999,Private,Disabled
KIRPICH,5000941,Private,Disabled
RAPTER,2500824,Private,Disabled
AIKOM,2570053,Private,Disabled
PETR59,2502226,Private,Disabled
QRANEW,6660666,Private,Disabled
REPSVR,1000001,Private,Disabled
ZHIRAF,2500863,Private,Disabled
LANCER,2500794,Private,Disabled
4UVASH,2501108,Private,Disabled
SEVAS,2507060,Private,Disabled
BALAMUT,2507004,Private,Disabled
BALOMUT,2507074,Private,Disabled
BALAMYT,2507027,Private,Disabled
0888,2506076,Private,Disabled
ROSTOV,6100777,Private,Disabled
TUMAN,7705778,Private,Disabled
MARIOTT,7700101,Private,Disabled
QRAOLD,5550222,Private,Disabled
SANSEY,9200787,Private,Disabled
BUSTER,2506007,Private,Disabled
PIL0T,4852002,Private,Disabled
ASTRNOM,2509178,Private,Disabled
DOCENT,2504058,Private,Disabled
BUMER,2500881,Private,Disabled
KOTLAS,2502011,Private,Disabled
TRESHKN,5000003,Private,Disabled
KARDAN,2503228,Private,Disabled
CICADA,1860757,Private,Disabled
KUBAN,2502138,Private,Disabled
MEDIC,7700327,Private,Disabled
