"ContactName","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","FiveToneCalls-S5CLDLL_5TTELEGRAM","FiveToneCalls-S5CLDLL_5TCALLADD","Delete_MDCCalls","MDCCalls-AU_CALLLSTID","MDCCalls-AU_MDCSYS","MDCCalls-AU_RVRTPERS_Zone","MDCCalls-AU_RVRTPERS","MDCCalls-AU_SPTPLDPL","MDCCalls-AU_CALLTYPE","Delete_QuikCallIICalls","QuikCallIICalls-QU_QCIISYS","QuikCallIICalls-QU_RVRTPERS_Zone","QuikCallIICalls-QU_RVRTPERS","QuikCallIICalls-QU_CALLFORMAT","QuikCallIICalls-QU_TONEATXFRE","QuikCallIICalls-QU_CODEA","QuikCallIICalls-QU_TONEBTXFRE","QuikCallIICalls-QU_CODEB","QuikCallIICalls-QU_STRIPPLDPL","Delete_DigitalCalls","DigitalCalls-DU_CALLLSTID","DigitalCalls-DU_ROUTETYPE","DigitalCalls-DU_CALLPRCDTNEN","DigitalCalls-DU_RINGTYPE","DigitalCalls-DU_TXTMSGALTTNTP","DigitalCalls-DU_CALLTYPE","DigitalCalls-DU_OVCMCALL","Delete_CapacityPlusCalls","CapacityPlusCalls-CAPPLUSUCL_CALLLSTID","CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE","CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN","CapacityPlusCalls-CAPPLUSUCL_RINGTYPE","CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP","CapacityPlusCalls-CAPPLUSUCL_CALLTYPE","Delete_PhoneCalls","PhoneCalls-PHNUCLELL_CALLID","PhoneCalls-PHNUCLELL_RINGTYPE"
"Contact Name","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","Five Tone Calls - Telegram","Five Tone Calls - Address","Delete_MDCCalls","MDC Calls - Call ID (Hex)","MDC Calls - MDC System","MDC Calls - Revert Channel Zone","MDC Calls - Revert Channel","MDC Calls - Strip TPL/DPL","MDC Calls - Call Type","Delete_QuikCallIICalls","Quik CallII Calls - Quik-Call II System","Quik CallII Calls - Revert Channel Zone","Quik CallII Calls - Revert Channel","Quik CallII Calls - Call Format","Quik CallII Calls - Tone A Freq (Hz)","Quik CallII Calls - Tone A Code","Quik CallII Calls - Tone B Freq (Hz)","Quik CallII Calls - Tone B Code","Quik CallII Calls - Strip TPL/DPL","Delete_DigitalCalls","Digital Calls - Call ID","Digital Calls - Route Type","Digital Calls - Call Receive Tone","Digital Calls - Ring Style","Digital Calls - Text Message Alert Tone","Digital Calls - Call Type","Digital Calls - DU_OVCMCALL","Delete_CapacityPlusCalls","Capacity Plus Calls - Call ID","Capacity Plus Calls - Route Type","Capacity Plus Calls - Call Receive Tone","Capacity Plus Calls - Ring Style","Capacity Plus Calls - Text Message Alert Tone","Capacity Plus Calls - Call Type","Delete_PhoneCalls","Phone Calls - Number","Phone Calls - Ring Type"
"QRAM","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1630001","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"HAKE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632101","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"DOBR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632102","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"LEV","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632103","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"B0EC","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632106","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SHAP","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632107","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"PLUS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632108","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"MOLC","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632203","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"PREZ","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632205","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KAZA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632303","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"CHAK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632401","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"DRON","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632402","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SAMA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1634001","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"CICA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1860757","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"VYMP","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1960001","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"QRA2","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2120212","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ARCT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2150215","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BALO","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2200022","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SMER","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2300341","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"TUSH","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2470024","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"DALL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500108","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"CALV","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500225","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SOKO","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500247","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BARS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500252","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"RU17","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500274","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"TEXN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500312","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"VOLT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500318","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"AVIA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500325","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"STAL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500334","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"LEV1","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500363","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"VARL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500411","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KOSM","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500449","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KASS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500450","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BORI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500502","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"RAZR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500542","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"WISK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500590","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ONTO","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500610","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"MACL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500617","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
