Contact Name,Call Type,Call ID,Call Receive Tone
KAMA,2,5973717,0
ORANGE,2,5973723,0
NIKON,2,5973744,0
GNOM,2,5973750,0
SURGUT,2,5973757,0
ON770,2,5973770,0
PAROVOZ,2,5973781,0
ONARKA,2,5973795,0
QENERGY,2,5973801,0
DIREKTOR,2,5973817,0
VOYAGER,2,5973842,0
SMOLNY,2,5973888,0
DVS001,2,5973901,0
TRANSIT,2,5973909,0
CMRADUGA,2,5973911,0
LESHIY,2,6000001,0
BORBIST,2,6100061,0
SELMASH,2,6100555,0
ROSTOV,2,6100777,0
BATAYSK,2,6102504,0
GSTAR,2,6107007,0
TAYNIK,2,6107373,0
MARCONI,2,6201488,0
BOTANIK,2,6201499,0
DEN53,2,6400555,0
SHAMAN,2,6600001,0
P25DMR,2,6660111,0
QRAP25,2,6660333,0
QRA909,2,6660444,0
QRAPOC,2,6660555,0
QRALINK,2,6660666,0
CAPYBAR,2,6660667,0
QRASAO,2,6660777,0
QRAZAO,2,6660888,0
QRASKLV,2,6660999,0
VIRAZH,2,6700067,0
SUMRAK,2,7000001,0
PRINTER,2,7600001,0
BARON,2,7700023,0
NAUM,2,7700024,0
CCCP,2,7700025,0
VETER,2,7700030,0
WOROBEY,2,7700077,0
RADIO,2,7700100,0
MARIOTT,2,7700101,0
BESS,2,7700110,0
MORYAK,2,7700111,0
DRIM,2,7700115,0
NEMO,2,7700123,0
EGER163,2,7700163,0
ROO165,2,7700165,0
PIZZA,2,7700233,0
KARAS,2,7700292,0
MEDIC,2,7700327,0
CHAJKA,2,7700345,0
BOBER,2,7700500,0
ANGARA,2,7700524,0
PRIMUS,2,7700543,0
ANDR545,2,7700545,0
BRODYGA,2,7700666,0
FIJI,2,7700777,0
QRA7787,2,7700850,0
PYTHON,2,7700888,0
QRATRCK,2,7700985,0
ORCA28,2,7700999,0
SERAFIM,2,7701015,0
INDEEC,2,7701988,0
VANDAM,2,7702158,0
REVAZ,2,7702202,0
RUBIN,2,7702641,0
CACTUS,2,7702785,0
ALTAIR,2,7703306,0
RADAR,2,7704077,0
TUMAN,2,7705778,0
VITAMIN,2,7770348,0
AYVENGO,2,7800056,0
VALKOD,2,7800305,0
BOLTIK,2,7800555,0
RYZHYI,2,7800996,0
ULUDAG,2,7801081,0
OLEG,2,7806534,0
KOMYAGA,2,7809113,0
NEPTUNE,2,8000001,0
MUSEMAN,2,8000073,0
KVAK,2,8200001,0
LESNIK,2,8600001,0
KOSHEY,2,9200015,0
SANSEY,2,9200787,0
SEVERNY,2,9600002,0
LOST,2,9601990,0
